20121215   4.5
20121216   3.9
20121217   7.2
20121218  10.1
20121219   7.4
20121220   6.2
20121221  11.3
20121222   3.6
20121223   3.5
20121224   4.6
20121225   1.9
20121226   4.0
20121227   8.4
20121228   2.8
20121229   3.0
20121230  -1.1
20121231   1.1
